Sample Number for Falcon-512,Total Handshake Duration (ms),Hash Check Duration (ms),Data Check Duration (ms),Signature Check Duration (ms),
1,10.8561,8.02964,0.00917,2.62211,
2,7.84905,7.36563,0.009346,0.260478,
3,8.30864,7.91989,0.009174,0.208267,
4,8.72517,8.34029,0.009209,0.198488,
5,8.09767,7.64221,0.009274,0.227589,
6,7.53842,7.14952,0.009098,0.205597,
7,8.43205,8.0137,0.00927,0.213136,
8,7.32048,7.02698,0.006865,0.157913,
9,8.18149,7.66613,0.009456,0.2572,
10,8.06201,7.64356,0.00898,0.193116,
11,8.20811,7.82732,0.00944,0.196433,
12,8.73019,8.31754,0.009905,0.212279,
13,8.0877,7.65569,0.009842,0.232652,
14,7.94413,7.54937,0.009219,0.192621,
15,8.8051,8.29002,0.00917,0.319118,
16,8.32882,7.93699,0.009391,0.200272,
17,7.81261,7.4282,0.009067,0.195522,
18,8.45237,8.00069,0.009336,0.214457,
19,8.65941,8.23466,0.010425,0.211351,
20,2.77375,2.64779,0.002618,0.066181,
21,7.03198,6.69558,0.007971,0.182171,
22,9.08373,8.70328,0.009244,0.19684,
23,8.50601,8.1162,0.009159,0.206386,
24,7.87391,7.49633,0.009104,0.198911,
25,8.45096,8.07115,0.009202,0.197988,
26,8.85485,8.40923,0.010134,0.221847,
27,8.95178,8.43792,0.009433,0.196691,
28,7.70909,7.19139,0.009248,0.329673,
29,6.76202,6.48659,0.006569,0.138021,
30,8.20865,7.802,0.009268,0.201093,
31,9.24028,8.85832,0.00942,0.198827,
32,7.50838,7.07085,0.009313,0.244312,
33,9.13972,8.74776,0.009192,0.201752,
34,9.4028,9.02364,0.00908,0.193245,
35,8.20712,7.82452,0.009016,0.201229,
36,8.31251,7.86195,0.009332,0.273171,
37,8.46759,8.09472,0.008348,0.205723,
38,7.9586,7.5656,0.009228,0.209489,
39,7.52021,7.15154,0.00829,0.183185,
40,8.21187,7.82742,0.009246,0.193683,
41,8.11105,7.7318,0.009277,0.194506,
42,8.11874,7.69689,0.00968,0.199217,
43,8.39051,8.00499,0.009343,0.199561,
44,8.56539,8.06357,0.008282,0.305591,
45,8.46963,8.06892,0.009573,0.218793,
46,8.98017,8.42656,0.009023,0.198037,
47,7.84874,7.47561,0.00864,0.203556,
48,7.72266,7.30969,0.009959,0.20917,
49,9.44215,9.02286,0.010175,0.219544,
50,8.02783,7.62699,0.009424,0.196394,
51,7.88757,7.50073,0.009231,0.203299,
52,2.48966,2.36078,0.002659,0.066273,
53,8.39599,8.00606,0.009143,0.205988,
54,5.92261,5.57968,0.040441,0.15499,
55,7.87985,7.50322,0.008964,0.195255,
56,7.65584,7.18586,0.013172,0.276338,
57,8.38113,7.99631,0.00914,0.197875,
58,8.66274,8.28675,0.009154,0.192965,
59,8.62114,8.24317,0.009011,0.197236,
60,8.0392,7.65385,0.009249,0.202442,
61,9.06636,8.67967,0.009362,0.197825,
62,8.26022,7.71515,0.012726,0.267256,
63,8.76433,8.33627,0.010327,0.214438,
64,8.92227,8.51506,0.009173,0.216575,
65,8.62101,8.24254,0.009105,0.193716,
66,7.97626,7.5565,0.009443,0.21484,
67,7.68779,7.28048,0.009271,0.205197,
68,8.18018,7.69924,0.009424,0.29727,
69,8.05307,7.62692,0.009817,0.217574,
70,9.55167,8.91867,0.014789,0.357348,
71,7.79149,7.38206,0.009231,0.204917,
72,7.95758,7.58093,0.009158,0.195741,
73,7.47697,7.02138,0.009066,0.210797,
74,8.55659,8.02631,0.011515,0.271598,
75,8.08849,7.69843,0.009056,0.206077,
76,7.99067,7.60813,0.009388,0.201179,
77,7.91122,7.50989,0.009329,0.206024,
78,7.71917,7.3486,0.009135,0.191335,
79,8.21705,7.69058,0.011593,0.218207,
80,8.5512,8.08084,0.009473,0.220233,
81,8.05999,7.63588,0.01006,0.22269,
82,8.57385,8.19303,0.008968,0.196529,
83,8.88319,8.46415,0.010055,0.212763,
84,8.44855,7.86371,0.009859,0.226488,
85,8.56937,8.17796,0.009212,0.203081,
86,8.34917,7.93852,0.00891,0.214455,
87,4.93084,4.67531,0.006034,0.130533,
88,8.49322,8.10661,0.00918,0.198399,
89,8.40529,7.93445,0.009215,0.279758,
90,8.56829,8.18405,0.009291,0.198138,
91,8.35516,7.97093,0.009433,0.194623,
92,8.58977,8.15292,0.010111,0.212132,
93,7.82687,7.47031,0.008372,0.188018,
94,7.63213,7.22314,0.010502,0.203511,
95,7.95902,7.57237,0.008997,0.192446,
96,7.93927,7.52489,0.009104,0.208822,
97,9.2791,8.90022,0.009228,0.193858,
98,8.78912,8.38864,0.008997,0.203739,
99,8.70602,8.2889,0.009499,0.210551,
100,7.88045,7.49077,0.009066,0.207386,
