Sample Number for rsa4096,Total Handshake Duration (ms),Hash Check Duration (ms),Data Check Duration (ms),Signature Check Duration (ms),
1,5.14512,3.62106,0.007693,1.3702,
2,9.42662,7.78463,0.008173,1.48456,
3,9.30496,7.44525,0.007693,1.72013,
4,8.86446,7.0709,0.008269,1.64491,
5,9.39444,7.77706,0.008448,1.47064,
6,9.08034,7.44706,0.008513,1.48506,
7,8.97085,7.21706,0.008146,1.61045,
8,9.60469,7.89473,0.009649,1.54591,
9,11.6958,9.56761,0.013651,1.92662,
10,10.2068,7.95326,0.008445,2.1001,
11,9.24091,7.37364,0.008321,1.71881,
12,9.73696,8.11856,0.008525,1.46888,
13,9.3572,7.67481,0.008432,1.53669,
14,9.02488,7.36687,0.008491,1.5082,
15,9.62035,7.97962,0.008626,1.48501,
16,9.59065,7.68078,0.008972,1.75285,
17,8.5971,7.23102,0.008741,1.2087,
18,9.16253,7.02009,0.008201,1.99386,
19,9.01593,7.15577,0.008321,1.71047,
20,9.28035,7.49367,0.008611,1.63511,
21,9.36022,7.71831,0.008434,1.48271,
22,9.86622,8.1412,0.011727,1.54065,
23,10.4755,7.99901,0.009239,2.30893,
24,9.55907,7.73298,0.032806,1.64673,
25,7.20159,5.82876,0.00621,1.24979,
26,8.88722,7.20029,0.008083,1.53517,
27,10.8576,8.2061,0.009966,2.43907,
28,10.541,8.65929,0.008996,1.72393,
29,8.9533,7.32262,0.00868,1.47613,
30,9.77488,7.90903,0.009043,1.70937,
31,9.62601,7.70618,0.008837,1.76976,
32,9.49576,7.68803,0.00841,1.66527,
33,8.76287,7.12055,0.008706,1.48356,
34,9.08352,7.3252,0.008338,1.60806,
35,9.68795,7.64085,0.008383,1.89759,
36,9.64251,7.9783,0.008448,1.51483,
37,10.1711,8.1459,0.008188,1.86026,
38,9.67407,7.95246,0.009071,1.56455,
39,9.64239,7.76567,0.008225,1.72984,
40,9.61998,7.64551,0.008455,1.82144,
41,9.31372,7.6874,0.00829,1.48041,
42,10.2267,8.5192,0.008508,1.55104,
43,9.5875,7.62912,0.00868,1.80122,
44,9.31427,7.57822,0.009117,1.57697,
45,9.81225,8.03808,0.011032,1.5814,
46,9.54964,7.65859,0.008394,1.73869,
47,9.26466,7.94715,0.006724,1.19779,
48,9.28383,7.34734,0.008306,1.78369,
49,9.48607,7.62469,0.00851,1.69503,
50,9.46186,7.53275,0.009064,1.76806,
51,9.37396,7.70112,0.008275,1.52149,
52,10.4804,7.6281,0.00841,1.93745,
53,9.48595,7.77776,0.008332,1.56109,
54,9.57485,7.94156,0.008628,1.48181,
55,9.64873,7.59611,0.009012,1.89208,
56,9.60797,8.00477,0.008231,1.45937,
57,10.05,8.17122,0.10328,1.60814,
58,8.88927,6.97062,0.008393,1.76794,
59,9.3357,7.71683,0.008394,1.47474,
60,9.45995,7.68817,0.008681,1.60773,
61,9.45326,7.77445,0.008407,1.53802,
62,9.48124,7.68346,0.008702,1.63908,
63,9.46465,7.64126,0.00823,1.67067,
64,10.0995,8.27483,0.008215,1.68312,
65,9.97609,8.26929,0.008459,1.55039,
66,10.05,8.10534,0.008846,1.78429,
67,9.04001,7.41525,0.008465,1.47314,
68,10.5716,8.92445,0.00867,1.48643,
69,9.31534,7.53968,0.007575,1.64248,
70,9.50295,7.79452,0.008348,1.55446,
71,8.98492,7.25906,0.008664,1.57131,
72,9.51675,7.71311,0.00827,1.65259,
73,8.30881,6.9966,0.007668,1.14314,
74,10.2817,8.63757,0.008184,1.4976,
75,8.74947,7.26383,0.007892,1.3426,
76,9.19377,7.48902,0.008572,1.55242,
77,9.9164,8.11231,0.013504,1.60465,
78,9.41975,7.61184,0.009252,1.64449,
79,8.731,7.09893,0.008651,1.48493,
80,9.89894,7.95004,0.012745,1.72731,
81,7.55384,6.40085,0.005807,1.04532,
82,10.977,8.10157,0.012513,2.67412,
83,9.53962,7.89334,0.008517,1.49546,
84,9.35286,7.57309,0.008276,1.6354,
85,10.3431,8.44493,0.008664,1.72433,
86,9.50657,7.63407,0.00801,1.72476,
87,4.49507,3.67105,0.004022,0.751104,
88,8.14489,6.51929,0.008908,1.46959,
89,7.10828,5.97675,0.023401,1.01619,
90,9.02929,7.49763,0.007451,1.40355,
91,10.2156,8.42089,0.008518,1.6469,
92,2.87597,2.31387,0.002304,0.517516,
93,9.40391,7.77694,0.008446,1.47757,
94,9.63971,7.80006,0.00919,1.6756,
95,8.8087,7.10496,0.00851,1.55545,
96,9.40751,8.0122,0.007047,1.26815,
97,9.3315,7.35541,0.00781,1.82809,
98,9.27377,7.65277,0.008562,1.47179,
99,9.14922,7.3331,0.009407,1.65892,
100,9.71683,8.01146,0.008398,1.55757,
