Sample Number for SPHINCS+-SHA2-256f-simple,Total Handshake Duration (ms),Hash Check Duration (ms),Data Check Duration (ms),Signature Check Duration (ms),
1,47.5532,8.57451,34.9727,3.92817,
2,40.2102,8.6453,30.189,1.31001,
3,41.2664,9.2457,30.68,1.27714,
4,27.5187,10.5264,15.509,1.40901,
5,37.2554,9.2262,26.5305,1.45064,
6,41.776,8.91642,31.5132,1.28404,
7,45.4666,8.79778,35.2052,1.40098,
8,39.1394,9.99942,27.765,1.26971,
9,49.3061,9.37013,38.4914,1.3834,
10,39.4839,9.00652,29.1222,1.29468,
11,46.255,8.94983,35.6025,1.61978,
12,36.0537,8.37235,26.3565,1.27838,
13,44.3736,9.01208,33.9178,1.38024,
14,38.0636,8.91098,27.5298,1.55772,
15,53.4613,9.07694,42.9663,1.36768,
16,33.8995,8.54338,24.0506,1.257,
17,36.4408,9.23184,25.9259,1.23662,
18,27.0361,8.83386,16.8775,1.27366,
19,58.4443,9.37934,46.6056,2.38506,
20,28.8183,8.7557,18.6348,1.36344,
21,36.2043,8.82034,25.9346,1.38596,
22,38.4803,8.97762,28.0465,1.38983,
23,39.5301,9.08122,29.0503,1.35566,
24,42.1174,8.88484,31.8646,1.30945,
25,37.66,7.99881,28.3205,1.29405,
26,47.5963,9.08569,37.063,1.40383,
27,43.9646,8.93001,33.6403,1.3335,
28,33.4179,8.88897,23.1515,1.33242,
29,37.3472,9.01972,27.0473,1.23437,
30,48.4112,8.8814,38.1437,1.32661,
31,37.7025,8.93991,27.0955,1.57439,
32,42.1649,8.84822,32.0371,1.23681,
33,35.9501,8.68079,25.9188,1.28846,
34,38.4694,8.73511,28.4087,1.27573,
35,43.2053,9.20517,32.7446,1.21347,
36,35.5443,10.2176,23.8525,1.39809,
37,40.0172,8.88008,29.7479,1.32688,
38,21.9002,5.33851,15.243,1.26782,
39,45.165,8.6355,35.1449,1.32422,
40,48.1323,8.71155,36.1826,3.14312,
41,48.4115,8.82591,38.1847,1.34124,
42,35.5243,9.02119,25.1554,1.29788,
43,21.2427,6.37585,13.4533,1.33221,
44,14.7257,3.63112,9.69435,1.2749,
45,29.7692,9.05288,19.267,1.35618,
46,39.3759,8.81503,29.295,1.22207,
47,40.9063,8.2081,31.076,1.56163,
48,41.4277,10.0143,29.9735,1.31875,
49,51.9698,9.00244,41.4802,1.42999,
50,44.7981,10.1289,32.9028,1.70419,
51,32.6044,8.34255,22.5053,1.6843,
52,49.4658,9.11191,39.0405,1.26394,
53,36.2359,9.24665,25.6247,1.3085,
54,15.3067,2.78669,11.1176,1.31463,
55,38.2179,8.77857,27.596,1.77786,
56,47.2688,9.12677,36.758,1.324,
57,24.6295,4.65935,18.4854,1.41959,
58,46.0479,9.07449,34.1803,2.71007,
59,49.8917,8.67994,39.8318,1.31866,
60,41.9059,9.38946,30.9413,1.5268,
61,47.2464,9.11503,36.8159,1.25689,
62,47.2553,9.47021,36.422,1.26812,
63,51.6828,8.73438,41.5373,1.34663,
64,13.3072,2.81233,9.1903,1.2583,
65,40.8844,9.06353,30.2223,1.53499,
66,47.7163,8.98246,37.2759,1.30591,
67,45.6944,8.75638,35.5403,1.35153,
68,50.4508,9.08259,39.9567,1.35011,
69,35.0643,8.67453,24.9979,1.34313,
70,21.8979,9.51972,10.9762,1.34936,
71,13.624,2.50258,9.78,1.29801,
72,34.4894,8.98049,24.1609,1.28672,
73,40.4482,9.17454,29.9439,1.28443,
74,46.4391,8.69029,36.3839,1.30456,
75,33.8956,9.09093,23.5148,1.24404,
76,41.1379,9.05579,30.7422,1.2901,
77,38.7842,11.7317,25.5855,1.40059,
78,45.7397,8.26712,35.4931,1.90729,
79,43.039,8.84962,32.7608,1.36963,
80,47.1451,8.52676,36.4043,2.14328,
81,41.267,9.40131,30.3909,1.32562,
82,35.8597,8.90976,25.5968,1.3054,
83,40.8936,9.04119,30.2089,1.5869,
84,38.5039,8.65905,28.4351,1.35807,
85,43.2339,8.41841,31.5391,3.17871,
86,40.597,8.68789,30.4036,1.35817,
87,40.3801,9.4237,29.5373,1.35549,
88,41.044,9.00946,30.6542,1.31506,
89,35.1167,8.88282,24.7414,1.43158,
90,35.8986,10.5975,23.9577,1.27894,
91,30.3426,8.89798,19.9996,1.38581,
92,41.8476,9.28424,31.1711,1.33293,
93,45.7716,8.84913,35.4416,1.41747,
94,41.4756,8.88558,31.2427,1.30151,
95,52.4423,8.98253,42.0868,1.31291,
96,38.3878,8.89117,27.9147,1.51848,
97,31.8043,7.71065,22.6902,1.33867,
98,44.9201,9.17189,34.4009,1.28232,
99,36.164,8.64632,26.1903,1.28207,
100,54.3653,8.84456,44.0897,1.38801,
