Sample Number for Dilithium5,Total Handshake Duration (ms),Hash Check Duration (ms),Data Check Duration (ms),Signature Check Duration (ms),
1,13.1629,7.72646,4.45818,0.753146,
2,13.3584,8.3319,4.48559,0.338341,
3,4.96047,3.49252,1.26731,0.123332,
4,12.129,7.46178,4.09391,0.369727,
5,12.0703,7.46507,3.88616,0.498106,
6,12.2858,7.77968,3.99676,0.320936,
7,11.1133,7.17499,3.26443,0.467104,
8,3.74203,2.427,1.06225,0.159927,
9,11.9844,7.47545,3.96412,0.347317,
10,11.1594,7.28281,3.34181,0.335931,
11,11.5432,7.43609,3.53049,0.354042,
12,12.0458,7.49809,3.99578,0.349337,
13,12.2346,7.33533,4.29254,0.341083,
14,12.5303,7.61168,4.20331,0.368562,
15,11.2026,7.42921,3.22053,0.353273,
16,13.1321,8.00734,4.49624,0.433491,
17,13.3908,8.22932,4.49727,0.45946,
18,12.3093,7.47122,4.19949,0.441977,
19,11.3187,7.14606,3.41882,0.536284,
20,13.2863,8.17336,4.57996,0.338012,
21,13.8225,9.35686,3.89274,0.343632,
22,12.5166,7.97384,3.96982,0.33987,
23,12.5574,7.62448,4.35216,0.359337,
24,12.1089,7.78367,3.74487,0.335589,
25,13.8938,8.27174,5.03249,0.388569,
26,12.6169,7.75459,4.21323,0.425639,
27,11.633,7.41737,3.60361,0.379477,
28,12.36,7.58949,4.23465,0.341616,
29,11.9734,7.2558,4.17566,0.344936,
30,12.4563,7.68809,4.22894,0.342331,
31,11.3024,7.35251,3.39442,0.350621,
32,11.2133,7.29926,3.39617,0.333052,
33,11.8371,7.7791,3.49454,0.365555,
34,13.0118,8.4195,4.04477,0.349227,
35,12.0481,7.48991,4.01113,0.350104,
36,11.1226,7.19515,3.35199,0.347361,
37,11.7295,7.50315,3.72221,0.316398,
38,11.166,7.05669,3.53953,0.345626,
39,12.0478,7.47406,4.0345,0.34083,
40,12.5143,7.83882,4.05258,0.395551,
41,11.1867,7.10436,3.55498,0.33014,
42,11.0802,7.3907,3.18516,0.319851,
43,11.7198,7.26717,3.86659,0.361318,
44,11.5094,7.61092,3.3239,0.345507,
45,10.5578,6.88121,3.12771,0.348492,
46,11.9336,7.25288,4.07197,0.408267,
47,13.0812,8.21551,4.32423,0.345985,
48,12.7598,8.04964,4.02501,0.398602,
49,12.628,8.01731,3.99167,0.391482,
50,12.2919,8.15102,3.45958,0.45095,
51,12.3408,7.51495,4.13569,0.479006,
52,11.9335,7.98463,3.34177,0.399864,
53,12.9368,7.55682,4.00324,0.926275,
54,12.3883,7.66959,4.15634,0.335913,
55,12.4181,7.47979,4.37675,0.366125,
56,10.8366,7.2944,3.03851,0.318522,
57,12.6469,7.73044,4.37834,0.33414,
58,3.30458,2.24617,0.872874,0.126049,
59,12.459,7.98382,3.94284,0.335825,
60,11.5911,7.465,3.59249,0.323704,
61,12.8911,8.21901,4.1355,0.34241,
62,12.8573,8.01413,4.29982,0.348217,
63,11.0724,7.16103,3.40664,0.316682,
64,12.5283,7.87372,4.13564,0.325341,
65,11.7575,7.8545,3.2883,0.344546,
66,12.776,8.06308,3.99426,0.395058,
67,11.4602,7.42959,3.47147,0.34295,
68,3.2822,2.38122,0.715892,0.110457,
69,11.954,7.41284,3.94189,0.35764,
70,12.3002,7.57181,4.12319,0.406768,
71,12.493,7.75098,4.22669,0.331895,
72,10.4914,7.07282,3.0481,0.238781,
73,11.7805,7.35217,3.86029,0.344654,
74,11.5989,7.71499,3.22461,0.435599,
75,10.8389,7.08763,3.22207,0.319814,
76,4.42249,2.46941,1.72288,0.136386,
77,13.576,8.11681,4.85428,0.370399,
78,11.0341,7.23924,3.25229,0.343027,
79,12.069,7.46142,4.0543,0.351034,
80,13.2552,8.56197,4.06502,0.349956,
81,12.7525,8.066,4.12885,0.352332,
82,12.4221,7.75882,3.9822,0.471881,
83,12.5383,7.96933,3.9689,0.400985,
84,12.9726,7.8319,4.55535,0.366195,
85,13.0514,8.08982,4.4101,0.339457,
86,10.6326,7.1551,2.9711,0.322645,
87,11.1409,7.34524,3.27421,0.328532,
88,10.8691,7.02919,3.27249,0.344342,
89,12.0416,8.26337,3.54831,0.145392,
90,10.8349,7.08893,3.36332,0.241891,
91,12.9762,7.97383,4.45449,0.350183,
92,11.9703,7.25678,3.9617,0.355699,
93,13.2413,8.26181,4.44497,0.335551,
94,11.7576,7.3546,3.8613,0.342773,
95,12.9856,7.97653,4.41707,0.371998,
96,12.8908,8.13033,3.98712,0.344991,
97,5.18109,4.14536,0.87067,0.10851,
98,12.0103,7.23893,4.14047,0.435925,
99,12.4583,7.93521,3.97959,0.338547,
100,12.5661,7.56606,4.2766,0.525692,
